City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2020-02-21 18:59:43,73.51,80.55,7.9,93,100,20.74
1,Ushuaia,AR,2020-02-21 18:58:27,-54.8,-68.3,59.0,72,40,25.28
2,Tasiilaq,GL,2020-02-21 18:59:43,65.61,-37.64,10.89,59,95,4.27
3,Maceio,BR,2020-02-21 18:57:12,-9.67,-35.74,82.4,83,75,11.41
4,Yellowknife,CA,2020-02-21 18:59:43,62.46,-114.35,12.2,85,40,11.41
5,Maniitsoq,GL,2020-02-21 18:59:44,65.42,-52.9,12.42,81,100,15.79
6,Busselton,AU,2020-02-21 18:59:44,-33.65,115.33,75.99,22,100,10.85
7,Airai,TL,2020-02-21 18:59:44,-8.93,125.41,68.41,88,100,3.24
8,Bilibino,RU,2020-02-21 18:59:44,68.05,166.44,-19.59,98,100,2.19
9,Santarem,BR,2020-02-21 18:59:45,-2.44,-54.71,82.4,83,40,5.82
10,Puerto Ayora,EC,2020-02-21 18:59:45,-0.74,-90.35,82.4,74,75,3.36
11,Havelock,US,2020-02-21 18:58:05,34.88,-76.9,39.2,59,40,25.28
12,Punta Arenas,CL,2020-02-21 18:55:09,-53.15,-70.92,68.0,49,40,23.04
13,Methoni,GR,2020-02-21 18:55:19,36.82,21.7,55.0,71,0,2.24
14,Vaini,TO,2020-02-21 18:59:47,-21.2,-175.2,75.2,78,20,9.17
15,Date,JP,2020-02-21 18:59:47,42.47,140.87,23.36,78,100,3.58
16,Bambous Virieux,MU,2020-02-21 18:59:47,-20.34,57.76,79.0,74,40,8.05
17,My Tho,VN,2020-02-21 18:59:46,10.35,106.35,75.2,69,20,5.82
18,Gashua,NG,2020-02-21 18:59:47,12.87,11.05,81.72,12,0,10.4
19,Hithadhoo,MV,2020-02-21 18:59:48,-0.6,73.08,84.11,79,85,13.06
20,Bethel,US,2020-02-21 18:59:48,41.37,-73.41,35.01,21,1,10.29
21,Kapaa,US,2020-02-21 18:59:48,22.08,-159.32,73.4,78,75,16.11
22,Yulara,AU,2020-02-21 18:59:48,-25.24,130.99,78.8,26,0,11.41
23,Kysyl-Syr,RU,2020-02-21 18:59:49,63.9,122.76,-5.67,98,100,5.7
24,Alekseyevsk,RU,2020-02-21 18:59:49,57.84,108.35,21.7,96,100,6.55
25,Izhma,RU,2020-02-21 18:59:49,65.01,53.91,12.74,93,51,9.66
26,Jamestown,US,2020-02-21 18:59:49,42.1,-79.24,30.99,53,1,13.87
27,Vuktyl,RU,2020-02-21 18:59:50,63.86,57.31,3.29,94,4,4.7
28,Hofn,IS,2020-02-21 18:59:50,64.25,-15.21,35.6,74,90,10.29
29,Ancud,CL,2020-02-21 18:59:50,-41.87,-73.82,78.8,22,0,6.93
30,Chokurdakh,RU,2020-02-21 18:59:50,70.63,147.92,-21.89,100,27,2.08
